answer_question,store_name,buying_amount,sentiment_score,d1,d2,text,cluster,cluster_name,month,x,y,sentiment_label,request
リファのドライヤー破格で販売してほしいです。,ドン・キホーテ 川西店,2410.0,0.3456952079008869,8.98557,-61.28036,リファのドライヤー破格で販売してほしいです。,36,限定商品クラスター,8,6,6,Null,Null
箕面店のように野菜や果物等あれば嬉しいのですが,ドン・キホーテ 川西店,1900.0,0.6525724301439899,-7.102174,-46.533985,箕面店のように野菜や果物等あれば嬉しいのですが,6,惣菜クラスター,8,6,5,Null,Null
レジの方が明るく、対応が良かったから。,ドン・キホーテ 川西店,779.0,0.9972652669361004,-65.43714,7.34857,レジの方が明るく、対応が良かったから。,64,スムーズレジクラスター,5,5,6,Null,Null
肉の販売希望です,ドン・キホーテ 川西店,582.0,0.048980649310417,-2.822867,-47.334126,肉の販売希望です,5,値引きクラスター,6,4,4,Null,Null
ドンキのプライベートブランドの大きなみかんの缶詰をゼリーにしたら美味しかった。みかんの缶詰を売っているそばにゼラチンや寒天などゼリーの材料が置いてあれば、便利かもしれないと感じた。,ドン・キホーテ 川西店,7305.0,0.880100194591317,27.778759,-49.144547,ドンキのプライベートブランドの大きなみかんの缶詰をゼリーにしたら美味しかった。みかんの缶詰を売っているそばにゼラチンや寒天などゼリーの材料が置いてあれば、便利かもしれないと感じた。,40,ドンキ好きクラスター,9,5,9,Null,Null
生もの、肉とかを置いて欲しい??,ドン・キホーテ 川西店,1400.0,0.388297258634527,-21.465128,-50.090412,生もの、肉とかを置いて欲しい??,0,焼き芋派,7,5,5,Null,Null
対応してくれた方が、とても親切だった,ドン・キホーテ 川西店,5675.0,0.1469726150177477,-47.86189,22.548105,対応してくれた方が、とても親切だった,45,スタッフ対応クラスター,6,6,4,Null,Null
値段も安くてレジ係りの方は皆さん親切で気持ちがいいです,ドン・キホーテ 川西店,1775.0,0.9592006809971364,-63.230076,5.595554,値段も安くてレジ係りの方は皆さん親切で気持ちがいいです,64,スムーズレジクラスター,7,5,5,Null,Null
各コーナーの超お得がもっと目につくようにして欲しい韓国のシャンプーの品ぞろえを増やして良いものを安くで提供して欲しい。やっぱりドンキにはお得を求めて行くのでお宝ゲットがあるとお宝探しに来店する回数も増えると思います。お願いします。,ドン・キホーテ 川西店,4420.0,0.4167251706696478,15.696195,-60.2642,各コーナーの超お得がもっと目につくようにして欲しい韓国のシャンプーの品ぞろえを増やして良いものを安くで提供して欲しい。やっぱりドンキにはお得を求めて行くのでお宝ゲットがあるとお宝探しに来店する回数も増えると思います。お願いします。,37,ドンキオリジナルシャンプークラスター,9,8,6,Null,Null
店員さんはよく気が付く方が多いですね,ドン・キホーテ 川西店,4065.0,0.4479507941315037,-49.629196,8.927303,店員さんはよく気が付く方が多いですね,56,従業員対応クラスター,7,6,6,Null,Null
カップラーメンをもっと安くしてほしい大きいサイズの　ティシャツを、おいてほしいです。,ドン・キホーテ 川西店,6820.0,0.9142667545380576,7.062842,-43.011936,カップラーメンをもっと安くしてほしい大きいサイズの　ティシャツを、おいてほしいです。,31,食品クラスター,7,5,4,Null,Null
麺類を業務スーパー並みの価格にして欲しい。,ドン・キホーテ 川西店,12875.0,0.5770322744470481,1.5849507,-50.42061,麺類を業務スーパー並みの価格にして欲しい。,32,食品クラスター,6,5,4,Null,Null
豆乳やペットボトルのドリンクが他店舗より安く購入出来るので。,ドン・キホーテ 川西店,2700.0,0.0820772324872172,12.861507,-44.769306,豆乳やペットボトルのドリンクが他店舗より安く購入出来るので。,44,食品クラスター,5,9,7,Null,Null
従業員の中村さんがよかった,ドン・キホーテ 川西店,9210.0,0.0881958435246528,-55.032745,23.696074,従業員の中村さんがよかった,46,スタッフ対応クラスター,9,4,8,Null,Null
いちど来店すると、2時間から3時間程度見て回ってしまう。そのため、奥さんから行くのやめとけといわれるが、また行きたくなってしまう。,ドン・キホーテ 川西店,857.0,0.2510551039492316,-70.002884,-10.771305,いちど来店すると、2時間から3時間程度見て回ってしまう。そのため、奥さんから行くのやめとけといわれるが、また行きたくなってしまう。,71,スムーズレジクラスター,8,8,4,Null,Null
中平さん,ドン・キホーテ 川西店,2895.0,0.7461436915083522,-55.48202,25.77052,中平さん,46,スタッフ対応クラスター,9,6,8,Null,Null
駐車場のゴミ拾いをされていた。たくさん吸い殻が落ちているところがあり　お伝えするとすぐに対応されていた。気持ちの良い対応でした。,ドン・キホーテ 川西店,1365.0,0.4391526836386817,-35.617203,-10.316808,駐車場のゴミ拾いをされていた。たくさん吸い殻が落ちているところがあり　お伝えするとすぐに対応されていた。気持ちの良い対応でした。,73,nameの例,4,4,5,Null,Null
売り切れているのか品出しが追いついていないのかわからない商品があるため、どちらかわかるようにして欲しい。,ドン・キホーテ 川西店,950.0,0.5789021258175737,-20.909924,-23.843893,売り切れているのか品出しが追いついていないのかわからない商品があるため、どちらかわかるようにして欲しい。,26,食品クラスター,8,5,7,Null,Null
コーヒー豆いつも品切れ,ドン・キホーテ 川西店,1520.0,0.317277068952451,-20.5222,-36.825573,コーヒー豆いつも品切れ,25,クラスター名str,7,4,5,Null,Null
会計後、とても重たくなったかごをカートに載せる際に、レジの女性が手伝ってくださいました。,ドン・キホーテ 川西店,22655.0,0.7630510457311,-48.478977,-12.425237,会計後、とても重たくなったかごをカートに載せる際に、レジの女性が手伝ってくださいました。,75,カートの荷物対応クラスター,6,5,9,Null,Null
地酒を取り扱って欲しい!,ドン・キホーテ 川西店,3830.0,0.7811410498367098,-12.957849,-58.5547,地酒を取り扱って欲しい!,10,酒類クラスター,9,9,4,Null,Null
焼き海苔の大がありません、長く入荷してないです、仕入れないのですか？,ドン・キホーテ 川西店,1035.0,0.969213931272983,-20.995245,-42.605995,焼き海苔の大がありません、長く入荷してないです、仕入れないのですか？,25,クラスター名str,9,6,9,Null,Null
赤い蓋の珍味を安くしてほしい,ドン・キホーテ 川西店,1305.0,0.9347586164212208,-0.26038182,-49.38193,赤い蓋の珍味を安くしてほしい,5,値引きクラスター,5,8,5,Null,Null
従業員さんが親切にチャージ後の会計をしてくれて有難かったです！,ドン・キホーテ 川西店,1100.0,0.4749146622597665,-43.635967,13.537516,従業員さんが親切にチャージ後の会計をしてくれて有難かったです！,49,スタッフ対応クラスター,9,8,6,Null,Null
レジが混み始めたら、臨機応変に空いてるレジを開けてくれるので、助かります,ドン・キホーテ 川西店,764.0,0.9391255666372782,-68.32182,-15.079736,レジが混み始めたら、臨機応変に空いてるレジを開けてくれるので、助かります,71,スムーズレジクラスター,6,4,9,Null,Null
皆さん　きさくで　スマホ使い熟せない私にでも　嫌な顔などせず　教えて下さいます　何でも聞きやすく親しみをもてます,ドン・キホーテ 川西店,6700.0,0.057999266704757,-40.253353,24.329195,皆さん　きさくで　スマホ使い熟せない私にでも　嫌な顔などせず　教えて下さいます　何でも聞きやすく親しみをもてます,54,スマホ使用クラスター,5,9,7,Null,Null
お米やお酒、菓子等が安いので、よく利用させていただいてます。アイスだけはあまり安くないなぁといつも思います。もう少し安くなったら嬉しいです。,ドン・キホーテ 川西店,4345.0,0.0866000203929828,6.027687,-33.31979,お米やお酒、菓子等が安いので、よく利用させていただいてます。アイスだけはあまり安くないなぁといつも思います。もう少し安くなったら嬉しいです。,43,食品クラスター,4,4,4,Null,Null
カートのコマが変になって押しにくい時、声をかけてくれ、直してくれたのが嬉しかった。,ドン・キホーテ 川西店,2930.0,0.7000517396287366,-45.162697,-13.729246,カートのコマが変になって押しにくい時、声をかけてくれ、直してくれたのが嬉しかった。,75,カートの荷物対応クラスター,7,9,5,Null,Null
いつも利用しており、店員さんは親切に対応してくれています。これからも利用させていただきます。,ドン・キホーテ 川西店,1940.0,0.5226391752432787,-47.016045,12.529596,いつも利用しており、店員さんは親切に対応してくれています。これからも利用させていただきます。,56,従業員対応クラスター,8,4,4,Null,Null
タカキベーカリーのパンを扱って下さい,ドン・キホーテ 川西店,1790.0,0.1484867340875263,-9.6088505,-44.53047,タカキベーカリーのパンを扱って下さい,6,惣菜クラスター,4,8,4,Null,Null
ドンキの中では落ち着いた雰囲気だから,ドン・キホーテ 川西店,2235.0,0.2058042145190228,35.510036,-48.60289,ドンキの中では落ち着いた雰囲気だから,40,ドンキ好きクラスター,6,9,4,Null,Null
調味料を、安くしてほしい。,ドン・キホーテ 川西店,3885.0,0.7691560043865482,-3.6612468,-54.728436,調味料を、安くしてほしい。,5,値引きクラスター,7,5,5,Null,Null
福井産のお米をもう少し安くして欲しい,ドン・キホーテ 川西店,3530.0,0.6955924281796032,2.0303187,-52.73128,福井産のお米をもう少し安くして欲しい,30,food_cluster,9,4,5,Null,Null
レジの方はいつも誰でもとても対応が良いので気持ちがいいです,ドン・キホーテ 川西店,2635.0,0.8476292264037191,-63.400307,6.7736573,レジの方はいつも誰でもとても対応が良いので気持ちがいいです,64,スムーズレジクラスター,6,7,7,Null,Null
川西市のドン・キホーテは値下げ品がたくさんあり、掘り出し物を探しに行く感覚で、いつも楽しいです。,ドン・キホーテ 川西店,17135.0,0.5028075853732393,34.217194,-40.00745,川西市のドン・キホーテは値下げ品がたくさんあり、掘り出し物を探しに行く感覚で、いつも楽しいです。,41,ドンキ好きクラスター,5,5,4,Null,Null
タオル類の種類をもう少し増やして欲しいです。,ドン・キホーテ 川西店,8845.0,0.4197323735972857,-0.08474362,-44.578335,タオル類の種類をもう少し増やして欲しいです。,5,値引きクラスター,4,5,9,Null,Null
コーヒーを安くして欲しい。作業着用の洗濯洗剤を販売して欲しい。,ドン・キホーテ 川西店,2165.0,0.1868078723665599,6.4200273,-49.421436,コーヒーを安くして欲しい。作業着用の洗濯洗剤を販売して欲しい。,32,食品クラスター,7,9,6,Null,Null
ポイントの使い方よく説明してくれました,ドン・キホーテ 川西店,3295.0,0.9721006060682104,-36.33358,18.702318,ポイントの使い方よく説明してくれました,51,マジカポイントクラスター,6,9,9,Null,Null
チャージとなんべんも言っているのに普通に会計された。何が考えごとでもしたてたのかな?でももう一人の人が親切にしてくれた。間違った人はあやまりもしない!,ドン・キホーテ 川西店,5320.0,0.8742613396262732,-43.337845,13.374907,チャージとなんべんも言っているのに普通に会計された。何が考えごとでもしたてたのかな?でももう一人の人が親切にしてくれた。間違った人はあやまりもしない!,49,スタッフ対応クラスター,4,7,8,Null,Null
ぼそぼそ喋る従業員は何言ってるかわからん!,ドン・キホーテ 川西店,1955.0,0.0666008779465835,-46.460308,4.7367373,ぼそぼそ喋る従業員は何言ってるかわからん!,55,,6,9,8,Null,Null
中村さんの対応がよかった,ドン・キホーテ 川西店,6675.0,0.8535168255128773,-53.846176,24.447483,中村さんの対応がよかった,46,スタッフ対応クラスター,4,6,4,Null,Null
レジのお姉さんが優しい,ドン・キホーテ 川西店,11970.0,0.6205474342285087,-66.79415,15.118251,レジのお姉さんが優しい,57,従業員対応クラスター,7,4,8,Null,Null
レジを開けてくれてスム-ズだった。,ドン・キホーテ 川西店,2460.0,0.0248892514920355,-69.32757,-16.916054,レジを開けてくれてスム-ズだった。,71,スムーズレジクラスター,7,8,5,Null,Null
レジの時、ずっとインカムで喋っていて不快だった,ドン・キホーテ 川西店,1200.0,0.3460156707393556,-74.99563,1.4888766,レジの時、ずっとインカムで喋っていて不快だった,63,スムーズレジクラスター,4,8,4,Null,Null
商品の在庫切れや品薄の棚が多かった様に思いました。,ドン・キホーテ 川西店,8555.0,0.2009103309911546,-30.021303,-25.700663,商品の在庫切れや品薄の棚が多かった様に思いました。,84,品物陳列クラスター,9,6,4,Null,Null
いつも丁寧な対応をしていただいてます。,ドン・キホーテ 川西店,8390.0,0.8368893893361655,-49.01778,18.588665,いつも丁寧な対応をしていただいてます。,45,スタッフ対応クラスター,6,9,9,Null,Null
ドンキ大好き！！これからも絶対行きます！！,ドン・キホーテ 川西店,9345.0,0.6105001106351209,32.26684,-50.481857,ドンキ大好き！！これからも絶対行きます！！,40,ドンキ好きクラスター,5,8,4,Null,Null
陳列業務が忙しいのは分かりますが、客が買い物していてもおかまいなしは、どうかなと思います。,ドン・キホーテ 川西店,2505.0,0.6702495650135795,-27.843588,-22.193922,陳列業務が忙しいのは分かりますが、客が買い物していてもおかまいなしは、どうかなと思います。,84,品物陳列クラスター,6,9,5,Null,Null
店員の応対がいい,ドン・キホーテ 川西店,1430.0,0.9536267534148154,-49.758087,10.009668,店員の応対がいい,56,従業員対応クラスター,7,8,5,Null,Null
アリエール超特大の価格が、高かったが、きちんと対応した。,ドン・キホーテ 川西店,836.0,0.4558424092946873,-43.486206,21.906942,アリエール超特大の価格が、高かったが、きちんと対応した。,45,スタッフ対応クラスター,6,8,4,Null,Null
レジが長く並んでいてもスムーズに流れイライラしない。商品補充等の方が塞いでいる時の一言あれば、良いと思います。,ドン・キホーテ 川西店,1695.0,0.6996836463277473,-63.591362,-14.687223,レジが長く並んでいてもスムーズに流れイライラしない。商品補充等の方が塞いでいる時の一言あれば、良いと思います。,67,スムーズレジクラスター,5,6,7,Null,Null
店員さんいつものように親切で、丁寧な対応していただきました、ありがとうございました。,ドン・キホーテ 川西店,11500.0,0.2633298534063696,-47.893867,12.057137,店員さんいつものように親切で、丁寧な対応していただきました、ありがとうございました。,56,従業員対応クラスター,4,9,4,Null,Null
今までは毎週1回はそちらに行っていましたが、最近は月1回行けばいい方です。これは牛乳が高くなったからです。そちらの近くのサンドラッグが安いので、そこでいろいろと買うようになりました。より安くとは言いませんが、そちらもサンドラッグと同じ値段になりませんか？,ドン・キホーテ 川西店,4670.0,0.0198822209634433,-7.046201,-25.441195,今までは毎週1回はそちらに行っていましたが、最近は月1回行けばいい方です。これは牛乳が高くなったからです。そちらの近くのサンドラッグが安いので、そこでいろいろと買うようになりました。より安くとは言いませんが、そちらもサンドラッグと同じ値段になりませんか？,20,食品クラスター,8,4,9,Null,Null
ドンキのオリジナルオリーブオイル安くであったら嬉しいです！,ドン・キホーテ 川西店,1095.0,0.9590985705540486,29.023006,-46.516155,ドンキのオリジナルオリーブオイル安くであったら嬉しいです！,40,ドンキ好きクラスター,4,5,7,Null,Null
カゴからとり忘れたマユズミを探して連絡してくださりました。丁寧な対応に感謝です。,ドン・キホーテ 川西店,8330.0,0.3231233005841035,-45.167942,20.432888,カゴからとり忘れたマユズミを探して連絡してくださりました。丁寧な対応に感謝です。,45,スタッフ対応クラスター,5,9,9,Null,Null
接客してくれたお姉さんがとても優しくまた来たいと思った,ドン・キホーテ 川西店,3700.0,0.0859101709853941,-58.843807,20.902933,接客してくれたお姉さんがとても優しくまた来たいと思った,58,従業員対応クラスター,6,8,7,Null,Null
従業員が陳列棚の配品を堂々とされています。カートを動かされなくて何回も嫌な気持ちします以前は無かったのに!,ドン・キホーテ 川西店,6275.0,0.6889157174462575,-42.885574,-14.826385,従業員が陳列棚の配品を堂々とされています。カートを動かされなくて何回も嫌な気持ちします以前は無かったのに!,73,nameの例,4,9,8,Null,Null
以前買ってまた欲しかった商品がなかった,ドン・キホーテ 川西店,3725.0,0.1181054917930189,-16.453268,-28.723911,以前買ってまた欲しかった商品がなかった,27,商品不足クラスター,7,8,6,Null,Null
今日は日曜日のわりにレジが空いていて楽でした！ラッキー,ドン・キホーテ 川西店,771.0,0.9938960965863756,-71.73435,10.804,今日は日曜日のわりにレジが空いていて楽でした！ラッキー,64,スムーズレジクラスター,6,5,4,Null,Null
中村さんの対応が良かった,ドン・キホーテ 川西店,5890.0,0.7814073647297239,-53.85587,24.445473,中村さんの対応が良かった,46,スタッフ対応クラスター,6,5,6,Null,Null
肉、魚、牡蠣、あさり等業務スーパーに置いあるものを少しでも置いて下されば非常に有難いで～す??,ドン・キホーテ 川西店,1320.0,0.5564675541867814,-21.64741,-50.057606,肉、魚、牡蠣、あさり等業務スーパーに置いあるものを少しでも置いて下されば非常に有難いで～す??,0,焼き芋派,6,7,7,Null,Null
お弁当のPOPの値段が間違っておりPOPの値段とお弁当についてる値段に100円の差がありました。クレームの元になるのでしっかりした方が…,ドン・キホーテ 川西店,12560.0,0.8486193943505083,-49.39792,-31.426632,お弁当のPOPの値段が間違っておりPOPの値段とお弁当についてる値段に100円の差がありました。クレームの元になるのでしっかりした方が…,80,スーパーマーケットクラスター,6,8,6,Null,Null
アーモンドチョコレートを安くして欲しい。,ドン・キホーテ 川西店,3110.0,0.3462257527989624,3.813725,-54.427795,アーモンドチョコレートを安くして欲しい。,30,food_cluster,7,8,9,Null,Null
接客がよかったです,ドン・キホーテ 川西店,8345.0,0.6487522676958599,-57.907207,21.342592,接客がよかったです,58,従業員対応クラスター,9,7,9,Null,Null
親身になって接客をして頂けたので良かったです。,ドン・キホーテ 川西店,987.0,0.9794637135512272,-57.694214,21.04356,親身になって接客をして頂けたので良かったです。,58,従業員対応クラスター,7,5,4,Null,Null
浅漬けのもとが品切れです。補充してください、,ドン・キホーテ 川西店,1395.0,0.5643648262456714,-21.704353,-33.183987,浅漬けのもとが品切れです。補充してください、,25,クラスター名str,6,7,7,Null,Null
お弁当は単品より栄養バランスが良いものも置いて欲しい,MEGAドン・キホーテUNY 横浜大口店,3120.0,0.0028691524142099,-11.405952,-50.164474,お弁当は単品より栄養バランスが良いものも置いて欲しい,6,惣菜クラスター,9,9,4,Null,Null
ケシミン化粧水、乳液を入れて欲しいです。,MEGAドン・キホーテUNY 横浜大口店,727.0,0.2624118958544998,11.689692,-59.826668,ケシミン化粧水、乳液を入れて欲しいです。,37,ドンキオリジナルシャンプークラスター,7,6,5,Null,Null
お弁当安くして,MEGAドン・キホーテUNY 横浜大口店,935.0,0.6393297365373745,-11.266898,-51.04399,お弁当安くして,6,惣菜クラスター,5,4,9,Null,Null
混雑時に、新人の教育なのか後ろに立っているだけの人。ただ見ているだけなら必要ないです。客は新人育てる時間に付きあっていられません。早くレジを済ませたいので、2人でやるか、空いてる時にやるのはどうでしょうか。,MEGAドン・キホーテUNY 横浜大口店,5910.0,0.5540096447823144,-66.74764,-0.54903275,混雑時に、新人の教育なのか後ろに立っているだけの人。ただ見ているだけなら必要ないです。客は新人育てる時間に付きあっていられません。早くレジを済ませたいので、2人でやるか、空いてる時にやるのはどうでしょうか。,63,スムーズレジクラスター,8,9,6,Null,Null
ビールの種類を増やして欲しい,MEGAドン・キホーテUNY 横浜大口店,1655.0,0.2311305110656445,-12.842852,-57.06786,ビールの種類を増やして欲しい,10,酒類クラスター,7,4,8,Null,Null
レジで2人体制なのに、ペチャクチャと喋り、買い物カゴが通るにも関わらず、声もかけないで、喋り続けてたいて、他のスーパーは、声かけしたりしているのにと感じました。今時、珍しいスーパーだなぁと思いました。,MEGAドン・キホーテUNY 横浜大口店,6105.0,0.3892130680249811,-49.541626,-2.3166838,レジで2人体制なのに、ペチャクチャと喋り、買い物カゴが通るにも関わらず、声もかけないで、喋り続けてたいて、他のスーパーは、声かけしたりしているのにと感じました。今時、珍しいスーパーだなぁと思いました。,62,従業員対応クラスター,6,4,5,Null,Null
レジスタッフの対応はいつも良い。,MEGAドン・キホーテUNY 横浜大口店,2555.0,0.3626714360044936,-51.10709,16.710945,レジスタッフの対応はいつも良い。,56,従業員対応クラスター,4,9,5,Null,Null
レジに並ぶのが大変てす食料品マルシンハンバーグウインナーもっと安くして下さい,MEGAドン・キホーテUNY 横浜大口店,748.0,0.4363021612398386,-26.867662,-37.085327,レジに並ぶのが大変てす食料品マルシンハンバーグウインナーもっと安くして下さい,24,,9,4,5,Null,Null
ドの唐揚げがレンジアップで油でベチョベチョになるのでもうすこしカラッと仕上がるようにしてほしい,MEGAドン・キホーテUNY 横浜大口店,847.0,0.2709864993784302,-6.6570377,-51.87426,ドの唐揚げがレンジアップで油でベチョベチョになるのでもうすこしカラッと仕上がるようにしてほしい,6,惣菜クラスター,8,5,8,Null,Null
R-1がいつも高めですね。家族4人で毎日飲むので箱買いしたいのでお安くしてくれると嬉しいです。希望はドリンクタイプ・固形タイプ共に100円希望です。,MEGAドン・キホーテUNY 横浜大口店,4450.0,0.907220069397858,16.264404,-48.118584,R-1がいつも高めですね。家族4人で毎日飲むので箱買いしたいのでお安くしてくれると嬉しいです。希望はドリンクタイプ・固形タイプ共に100円希望です。,44,食品クラスター,7,6,8,Null,Null
インスタントのカップ焼きそばがよく売切れているので随時補充して欲しい。,MEGAドン・キホーテUNY 横浜大口店,2900.0,0.44423422746252,-17.134405,-39.844177,インスタントのカップ焼きそばがよく売切れているので随時補充して欲しい。,25,クラスター名str,4,8,6,Null,Null
これだけはドンキが安いと思う商品が欲しい。,MEGAドン・キホーテUNY 横浜大口店,812.0,0.9163114007232644,29.179123,-43.91292,これだけはドンキが安いと思う商品が欲しい。,41,ドンキ好きクラスター,6,7,7,Null,Null
品出しにもレジにも、ピリピリした空気を醸している人がいて、怖いことがある。,MEGAドン・キホーテUNY 横浜大口店,1170.0,0.4300935170220832,-59.34099,-21.247334,品出しにもレジにも、ピリピリした空気を醸している人がいて、怖いことがある。,79,スーパーマーケットクラスター,4,8,9,Null,Null
レジの人で言うことが異なる。たとえばある人はレジ袋はいりますか？ときくが聞かない人がいたりする。忘れることもあると思うがマニュアル通りにはいってほしい。,MEGAドン・キホーテUNY 横浜大口店,4865.0,0.9725452170467868,-56.108864,-13.502497,レジの人で言うことが異なる。たとえばある人はレジ袋はいりますか？ときくが聞かない人がいたりする。忘れることもあると思うがマニュアル通りにはいってほしい。,69,従業員対応クラスター,9,7,4,Null,Null
雨の日にどうしても買い物があり、カッパを来て大口店に行きました。そうしたら大口店の玄関先に雨しのぎのアーケードというか、屋根傘を広げていてくださって、自転車を停め、カッパの着脱時にも雨に濡れず大変助かりました。他のお客さんも傘を終うのに玄関先は混み合うのですが、そのアーケードのおかげで、雨なのにスムーズに入店する事ができました。前からも雨の日にはアーケードを広げている事は存じてましたが、改めて有り難かったです、ありがとうございます,MEGAドン・キホーテUNY 横浜大口店,1015.0,0.4135941792584439,-40.063416,-11.846252,雨の日にどうしても買い物があり、カッパを来て大口店に行きました。そうしたら大口店の玄関先に雨しのぎのアーケードというか、屋根傘を広げていてくださって、自転車を停め、カッパの着脱時にも雨に濡れず大変助かりました。他のお客さんも傘を終うのに玄関先は混み合うのですが、そのアーケードのおかげで、雨なのにスムーズに入店する事ができました。前からも雨の日にはアーケードを広げている事は存じてましたが、改めて有り難かったです、ありがとうございます,73,nameの例,5,5,8,Null,Null
三ツ矢サイダーゼロ1.5リットルを安く売って欲しい。また！商品がない。,MEGAドン・キホーテUNY 横浜大口店,5945.0,0.5939080780043768,-15.756988,-37.012993,三ツ矢サイダーゼロ1.5リットルを安く売って欲しい。また！商品がない。,25,クラスター名str,4,8,5,Null,Null
商品を倒してしまったけど快く直してくれた,MEGAドン・キホーテUNY 横浜大口店,2305.0,0.916137878451384,-44.48447,23.826715,商品を倒してしまったけど快く直してくれた,45,スタッフ対応クラスター,9,4,8,Null,Null
ドラえもんの商品があるから。値段が納得できるものがあるから。,MEGAドン・キホーテUNY 横浜大口店,2835.0,0.1974319017196762,28.090204,-41.837757,ドラえもんの商品があるから。値段が納得できるものがあるから。,41,ドンキ好きクラスター,6,5,8,Null,Null
レジの女性が素敵な笑顔だった。,MEGAドン・キホーテUNY 横浜大口店,7675.0,0.9990433503248832,-66.40316,14.103452,レジの女性が素敵な笑顔だった。,57,従業員対応クラスター,4,6,5,Null,Null
