comment,category,tag,keywords
ジャスミンティーのペットをケースで買いたいが箱入りがない時が多いのでバラで買っているケースでの在庫を置いてほしい。,商品,フード＆ドリンク,"['ジャスミンティー', 'ペット', 'ケース', '箱入り', 'バラ', '在庫']"
何度もアンケートに書いてますが、トイレットペーパーのシングルを置いて欲しいです。,商品,デイリー,"['トイレットペーパー', 'シングル']"
ボディークリーム等の保湿系の商品が高いので、安価な商品も取り扱ってほしいです。,商品,ヘルスケア,"['ボディークリーム', '保湿', '高い', '安価']"
カット野菜キャベツ安くしてくださいね。,商品,デイリー,"['カット野菜', 'キャベツ', '安く']"
冷凍食品の日清台湾混ぜそばがなくなったので、仕入れ復活させて欲しいです。,商品,デイリー,"['冷凍食品', '日清台湾混ぜそば']"
アプリのクーポンについても、丁寧に教えてくださいました 。,サービス・設備,商品知識,"['アプリ', 'クーポン', '教えて']"
新人さんだったので、特にないです これから頑張っていい接客してください 。,サービス・設備,接客態度,"['新人', '頑張って', '接客']"
Tさん今日も気持ちの良い挨拶ありがとうございました。,サービス・設備,接客態度,"['挨拶', '気持ちの良い']"
売り場が広いので、ゆっくり買い物できました 初めて行ったお店だったので、商品探すのちょっと大変でした 。,サービス・設備,店内レイアウト,"['売り場', '広い', 'ゆっくり', '買い物']"
レジすこし待った 。,サービス・設備,レジ処理の速度,['待った']
衣料品に特化した店にして欲しいです ゲｰムとかは、要らない 年配の人ように種類を増やして欲しいです 。,商品,ファッション＆カバン,"['衣料品', '年配の人']"
親切でした。,サービス・設備,接客態度,['親切']
豆腐、納豆安くしてほしいです。,商品,デイリー,"['豆腐', '納豆']"
伊藤園のペットボトルで、からだいいこと黒豆茶500mlを安くいれてほしいですすごく香りが良くて美味しいです近郊で文具の事務キチで74円くらい？でありました。,商品,デイリーグッズ,"['伊藤園', 'ペットボトル', 'からだいいこと黒豆茶', '500ml', '安く', '香り', '美味しい', '近郊', '文具', '事務キチ', '74円']"
R1　いつも利用してます 手頃な値段で買えて助かってます 。,商品,デイリー,"['利用', '手頃な値段', '買えて', '助かってます']"
空いているレジの方は、混んでいるレジに並んでいるお客様を誘導するともっと流れると思います。,サービス・設備,レジ処理の速度,"['空いているレジ', '混んでいるレジ', 'お客様', '誘導']"
マヨネーズを安くしてほしい 。,商品,デイリー,"['マヨネーズ', '安く']"
案内図が欲しい。,サービス・設備,店内レイアウト,['案内図']
同じ種類のものはなるべく1箇所にまとめて陳列お願いします 。,商品,商品陳列,"['まとめて', '陳列']"
９時一番だと空いてていいけど商品の陳列であわただしい。,サービス・設備,商品陳列,"['空いてる', '陳列']"
北海道商品を増やして欲しい。,商品,商品在庫,"['北海道', '商品', '増やす']"
こんなもんでしょう 。,商品,商品知識,['もん']
レジが並んでるにかなり。,サービス・設備,レジ処理の速度,['並んでる']
いつも頑張ってカート回収してくれています 。,サービス・設備,接客態度,"['頑張って', 'カート回収']"
欲しいと思っていた車のワックスがクーポン対象になっていて嬉しかったです 商品の前で悩んでいたら店員さんが声をかけてくださって、クーポンを使うことができました 親切な対応に感謝です 。,商品,カーライフ,"['車', 'ワックス', 'クーポン', '店員', '親切']"
モヤシとリプトンのミルクティーを安くして欲しいです 。,商品,デイリー,"['モヤシ', 'リプトン', 'ミルクティー', '安く']"
対応はとても良かったです!。,サービス・設備,接客態度,"['対応', '良かった']"
レジでの対応が悪い事がある 袋をお願いしますって伝えても返事をしてもらえない！外国の方の方が優しくて丁寧です 。,サービス・設備,接客態度,"['対応', '袋', '外国の方', '優しく', '丁寧']"
キャットフードをもう少しお安くしてもらいたいです 。,商品,ペット＆ガーデン,"['キャットフード', 'お安く']"
とっても良い従業員が親切でした。,サービス・設備,接客態度,"['従業員', '親切']"
レジリーダー感じが良い。,サービス・設備,接客態度,"['レジリーダー', '感じが良い']"
店内は、品出し時間だと、荷物で通路が通れない事が良くありますが、床やカゴ、カートの整頓は、いつもきれいです が、あまり売れていない商品には埃がゴッソリでした 仕方ないと思いますが、埃がっ…とは内心思ってしまいます 。,サービス・設備,店内の清潔度,"['品出し時間', '通路', '床', 'カゴ', 'カート', '整頓', '売れていない商品', '埃']"
誰も親切丁寧です。,サービス・設備,接客態度,"['親切', '丁寧']"
財布を忘れてしまいすぐ取りに伺いました 声をかけたスタッフさんも財布を持ってきて頂いたスタッフさんも丁寧に優しく対応して下さいました ありがとうございました また買い物に行きます 。,サービス・設備,接客態度,"['財布', '取りに伺い', '声をかけたスタッフ', '財布を持ってきて頂いたスタッフ', '丁寧', '優しく対応', 'ありがとうございました', '買い物']"
メガネ類（サングラス等）は、多く出品していますが、一方、メガネケースは、1種類かつ色も1色しかありませんでした もう少し、種類を多く（最低、色だけでも）取り扱ってほしいと思います 。,商品,ホームグッズ,"['メガネ', 'サングラス', 'メガネケース', '種類', '色']"
当日賞味期限の格安販売がうれしいです！。,商品,割引サービス,"['当日賞味期限', '格安販売', 'うれしい']"
ガリガリ君を複数購入したときレジを通したら袋の中で商品が割れているのに気がついたスタッフの方が新しい商品とその場ですぐ交換してくれたおかげで助かりました。,商品,デイリー,"['ガリガリ君', 'レジ', '袋', '割れる', '交換']"
ドンペイシールが欲しくて入店したんですが貰い方を知らず教えていただきゲットできました 人気商品のクーポンも定期的に出してほしいです 。,サービス・設備,商品在庫,"['ドンペイシール', '欲しい', '入店', '貰い方', '人気商品', 'クーポン']"
カクテキキムチ100円で、販売して欲しい‼️。,サービス・設備,フード＆ドリンク,"['従業員', '対応', '女性', 'カクテキキムチ', '100円', '販売']"
カゴにセットするタイプの買い物バックにレジの際商品を入れて欲しい他のスーパーやドラッグストアではしてくれるお店があってレジが終わってそのまま帰れるからとても助かります。,サービス・設備,その他サービス,"['買い物バック', 'レジ', 'スーパー', 'ドラッグストア']"
以前の商品などの配置が良かった！今迷路みたいで疲れる一方通行にしたのか？？。,サービス・設備,店内レイアウト,"['配置', '迷路', '疲れる', '一方通行']"
クーポンを所有していたのに商品がなかった店員さんの対応イマイチでした、。,サービス・設備,割引サービス,"['クーポン', '商品', '店員', '対応']"
通路を広く。,サービス・設備,店内レイアウト,"['通路', '広く']"
週末のレジの稼働台数を増やして欲しい 。,サービス・設備,レジ処理の速度,"['週末', 'レジ', '稼働台数', '増やす']"
いつも良いお店と思います 今後もよろしくお願いします 。,サービス・設備,接客態度,"['良い', 'お店', '今後', 'よろしくお願いします']"
マーガリンが値上がっていました ショック‼️。,商品,デイリー,"['マーガリン', '値上がり']"
とても親切な対応に感謝致しました 良い買い物が出来ました 。,サービス・設備,接客態度,"['親切', '対応', '感謝', '買い物']"
カートの返却場所が増えるといいなと思います 。,サービス・設備,店内レイアウト,"['カート', '返却場所', '増える']"
通りかかった店員さんに、秋のハッピーお宝くじの当選番号の掲示場所を聞いたら、優しく案内してくれた 。,サービス・設備,接客態度,"['秋のハッピーお宝くじ', '当選番号', '掲示場所', '優しく案内']"
仕事が早いベテランの店員さんのレジを選びがちです スマホから会員コードの読み取りにはコツがいるようで、慣れてない店員さんはかなり時間がかかる時があります 「金券や電子マネーのご使用はないですか？」の質問に毎回答えるのは面倒なので正直無くしてほしいです 。,サービス・設備,レジ処理の速度,"['仕事が早い', 'ベテラン', '店員さん', 'レジ', 'スマホ', '会員コード', '読み取り', '慣れてない', '時間がかかる', '金券', '電子マネー', '面倒']"
いつも利用させてもらっています 店員さんの対応はいつも良くして貰っております 今は物価高で大変だけどドンキさんにはいつも助かっております これからもよろしくお願いします 。,サービス・設備,接客態度,"['利用', '店員さん', '対応', '助かっている']"
素敵な笑顔に癒されました。,サービス・設備,接客態度,"['笑顔', '癒される']"
説明しづらいです 。,サービス・設備,接客態度,"['説明', 'しづらい']"
2.2ミリの太麺パスタを入れて下さい 。,商品,デイリーグッズ,['太麺パスタ']
クーポンの商品が何処にあるか分からず店員さんに尋ねると探しに行ってなかなか戻って来ず他の店員さんを連れて来て探し回りやっと見つかると、店員さん同士が、「何処にあるか分かりにくいわ」と話していました 店員さん達がそんな事を言うのだから私達が分からないのは頷ける 店員さんに何処に何があるか分かっていて欲しい。,サービス・設備,商品在庫,"['クーポン', '商品', '店員さん']"
サービスカウンターの方の対応が親切丁寧で良かった。,サービス・設備,接客態度,"['サービスカウンター', '対応', '親切', '丁寧']"
夕方６時、でもレジ3ヵ所 長蛇の列でもレジ増えない！アイスなんてとても買えない‼️。,サービス・設備,レジ処理の速度,"['夕方', '６時', 'レジ', '列', '増えない', 'アイス', '買えない']"
売り場の箱が空の物が目立つ 空の段ボール置いとく位なら場所縮小すればいいのに 広く歩ける方がいい。,サービス・設備,店内レイアウト,"['売り場', '箱', '空', '目立つ', '段ボール', '場所縮小', '広く歩ける']"
愛想の良い店員さんが多いので気持ちよく買い物できてます 。,サービス・設備,接客態度,"['愛想の良い', '店員さん', '気持ちよく', '買い物']"
また値札とレジの金額が違いました 。,サービス・設備,商品価格,"['値札', 'レジ', '金額', '違い']"
ドンペンお誕生日おめでとうございます！ふなっしー ソニック 丸山桂里奈さん 等からのおめでとうコメント動画を店頭で見れたので、うれしかったです 。,サービス・設備,その他設備,"['ドンペン', 'お誕生日', 'おめでとう', 'ふなっしー', 'ソニック', '丸山桂里奈']"
相変わらず、通路に商品のコンテナがあって邪魔なんですよね 。,サービス・設備,店内レイアウト,"['通路', '商品', 'コンテナ', '邪魔']"
猫のエサがもう少し安いと嬉しい 。,商品,ペット＆ガーデン,"['猫', 'エサ', '安い']"
犬の洋服の種類がもう少しあったらいいなと思います 。,商品,ペット＆ガーデン,"['犬', '洋服']"
会計の列が少し動線悪かったです 。,サービス・設備,店内レイアウト,"['会計', '列', '動線']"
対応よかったです 。,サービス・設備,接客態度,"['対応', 'よかった']"
フルタのカカオ71%ビターショコラを取り扱いしてほしい 。,商品,デイリーグッズ,"['フルタ', 'カカオ71%', 'ビターショコラ']"
レジの方が親切でした。,サービス・設備,接客態度,"['レジ', '親切']"
ドンキ伊勢店のレジの店員さんは対応がすごくいいです 。,サービス・設備,接客態度,"['ドンキ伊勢店', 'レジ', '店員さん', '対応', 'いい']"
ベビーカーでエレベーターに乗る時、いつもお店の方が対応してくださって素晴らしい！。,サービス・設備,接客態度,"['ベビーカー', 'エレベーター', '対応']"
レジの時にちょっとてまどいましたが聞いたらすぐ対応してくれました 。,サービス・設備,接客態度,"['レジ', '対応']"
 納豆や漬物を安くして欲しい！。,商品,デイリー,"['納豆', '漬物', '安く']"
お名前はわかりませんが、レジの方の対応が感じ良かったです！。,サービス・設備,接客態度,"['レジ', '対応', '感じ良かった']"
スタッフ皆さまに親切に対応して頂いております 。,サービス・設備,接客態度,"['親切', '対応']"
店員の対応がよかったです　また来ます。,サービス・設備,接客態度,"['対応', 'よかった', 'また来ます']"
いつもはクーポンの発券機のところにラインクーポンの商品の紹介が掲示してあるのに今日はなかったので、柿の種を見過ごすところだった。,サービス・設備,割引サービス,"['クーポン', '発券機', 'ラインクーポン', '商品', '紹介', '柿の種']"
本日の朝の職員さんは、陳列しながらでも皆さん挨拶して下さって気持ち良かったです 。,サービス・設備,接客態度,"['職員', '挨拶', '気持ち良い']"
朝の混雑の中　的確に精算をして頂き　よかったです。,サービス・設備,レジ処理の速度,"['朝', '混雑', '的確', '精算']"
またボディメンテを入荷してほしい！箱買いします！。,商品,フード＆ドリンク,"['ボディメンテ', '入荷', '箱買い']"
レジのおばさんが対応よかった。,サービス・設備,接客態度,"['レジ', 'おばさん', '対応', 'よかった']"
食料品の品出し中だったのでいつも以上に通路がとおりにくかった 冷凍庫が故障中みたいでクーポンの品が陳列されてなかった 。,商品,店内レイアウト,"['食料品', '品出し', '通路', '冷凍庫', '故障', 'クーポン']"
　今回時間なくて確認できませんでしたが野菜を4個で〇〇円のレジがよく間違ってます 今回も確認しながら4個購入したと思ったのにはじかれていて確認したかったのですが何円だけなので時間なくやめました 以前にも2回ほどありそのうち1回は100円以上違っていました この半年くらいでもし、今回もでしたら3回目です 注意して下さい。,サービス・設備,商品価格,"['野菜', 'レジ', '間違い', '確認', '時間']"
カードを落として電話も店頭でも対応が良くて気持ち良かったです。,サービス・設備,接客態度,"['カードを落とす', '電話', '対応', '気持ち良い']"
レジのZさんの対応が良く、大変満足しています 。,サービス・設備,接客態度,"['レジ', 'Zさん', '対応', '満足']"
レジの方の対応がとても良かったです 。,サービス・設備,接客態度,"['レジ', '対応', '良かった']"
迷路過ぎて迷う。,サービス・設備,店内レイアウト,"['迷路', '迷う']"
たまに値段のわからない商品があります 。,商品,商品価格,"['値段', 'わからない']"
男性従業員さんが研修中だったので、仕方ないのですが、分からない事だらけで、ベテランに聞きながらだったので、レジがかなり混雑していました 。,サービス・設備,レジ処理の速度,"['男性従業員', '研修中', '分からない', 'ベテラン', 'レジ', '混雑']"
売り場で聞きたいことがあっても、店員さんがなかなか見当たらない (レジの方は忙しそうで聞きにくいし、サービスカウンターまでは行きたくない)。,サービス・設備,接客態度,"['売り場', '店員', '聞きたいこと']"
ペットボトル飲料を安くしてほしい 他店をあげて申し訳ないですが、カネスエはアクエリアス→５８円です 。,商品,デイリー,"['ペットボトル飲料', '安く']"
いつも安くて助かります。,サービス・設備,商品価格,"['安く', '助かる']"
