mail,sentiment,journey,category,product-category,service-category,store-category,is_request,is_invalid
お目当てのシャケフレークが売り切れでなかったテレビで出てた商品なので多めに用意してほしい。,NEGATIVE,['DURING'],['PRODUCT'],['toy and variety'],[],[],True,False
・豆腐干を仕入れて欲しい ・ドンキのカナダ産の豚肉の脂の甘味が大好きです  私は同じカナダ産でも、深江橋のドンキのカナダ産の豚肉が好きです 産地を変えないで欲しい。,POSITIVE,['DURING'],"['PRODUCT', 'SERVICE']","['daily food', 'fresh meat']",['product-sourcing'],[],True,False
特にありません。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
駐車場が凸凹していてカートがおしずらい。,NEGATIVE,['AFTER'],['STORE'],[],[],['parking lot'],False,False
今はなし。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
特に無い。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
安くて嬉しいです 行くのが楽しみです 。,POSITIVE,['DURING'],['SERVICE'],[],[],[],False,False
前回も書かせて頂きましたが、従業員さんの対応はいつも丁寧なので、安心して買い物ができます 有り難うこざいます 。,POSITIVE,['DURING'],['SERVICE'],[],[],[],False,False
保湿剤とかが置いてある通路のド真ん中に店員さんが荷物を置いていて通れなかった(茶髪でウエーブのかかった髪の毛のおばさん、その人だけ毎回挨拶しない、一度商品を貰おうとして声をかけたら「今、むり！」と断られた)。,NEGATIVE,['DURING'],['SERVICE'],[],[],[],False,False
レジ担当者すこぶる無愛想だった こういう人はココで珍しいですね…バイトという印象ではなかったが喋り方もブッキラボウで丁寧さに欠けていたし品物の扱いも雑だった。,NEGATIVE,['REGISTER'],['SERVICE'],[],[],[],False,False
カロリーメイトのブロックタイプはドラックストアより値段が高いです。,NEUTRAL,['DURING'],['PRODUCT'],['daily use items'],[],[],False,False
レジが混んでいる時間帯でも快く対応してくださる店員さん方にいつも感謝しております 。,POSITIVE,['REGISTER'],['SERVICE'],[],[],[],False,False
ご当地の果物、野菜を充実させて欲しい。,POSITIVE,['UNCATEGORIZED'],['PRODUCT'],['vegetable and fruits'],[],[],True,False
Nice 。,POSITIVE,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
特に無いなっしー。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
良かったです。,POSITIVE,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
試着室を用意してほしいです。,POSITIVE,['DURING'],['SERVICE'],[],['preparation of fitting room'],[],True,False
子供用マスクの在庫が少なかったので、常に置いてあると良いと思う。,POSITIVE,['DURING'],['PRODUCT'],['daily use items'],[],[],True,False
特にありません。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
Wさんの対応は、挨拶・笑顔・案内・確認・振る舞いは申し分ありません 若いと思いますが、しっかりとされてます。,POSITIVE,['DURING'],['SERVICE'],[],['customer service of store employees'],[],False,False
水木クーポンの出し方が分かりづらい。,NEGATIVE,['DURING'],['SERVICE'],[],['coupons and discounts'],[],False,False
目線を合わさないのは色々な理由があるにしろ物の扱いが雑すぎます、因みに女性の方です。,NEGATIVE,['DURING'],['SERVICE'],[],['customer service of store employees'],[],False,False
ジャスミンティーのペットをケースで買いたいが箱入りがない時が多いのでバラで買っているケースでの在庫を置いてほしい。,POSITIVE,['DURING'],"['PRODUCT', 'SERVICE']",['daily food'],['preparation of product'],[],True,False
特になし。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
何度もアンケートに書いてますが、トイレットペーパーのシングルを置いて欲しいです。,POSITIVE,['DURING'],['PRODUCT'],['daily use items'],[],[],True,False
これからも利用させていただきます 。,POSITIVE,['AFTER'],['UNCATEGORIZED'],[],[],[],False,False
ボディークリーム等の保湿系の商品が高いので、安価な商品も取り扱ってほしいです。,NEGATIVE,['DURING'],['PRODUCT'],['beauty treatment device'],[],[],True,False
カット野菜キャベツ安くしてくださいね。,NEGATIVE,['DURING'],['PRODUCT'],['vegetable and fruits'],[],[],True,False
冷凍食品の日清台湾混ぜそばがなくなったので、仕入れ復活させて欲しいです。,NEGATIVE,['AFTER'],['PRODUCT'],['daily food'],[],[],True,False
アプリのクーポンについても、丁寧に教えてくださいました 。,POSITIVE,['AFTER'],['SERVICE'],[],['coupons and discounts'],[],False,False
ゴートミルクボディシャンプー2リットルがお得で気に入った ラストワンだったので、入荷していたらリピしたい 。,POSITIVE,['DURING'],['PRODUCT'],['beauty treatment device'],[],[],True,False
新人さんだったので、特にないです これから頑張っていい接客してください 。,POSITIVE,['AFTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
Tさん今日も気持ちの良い挨拶ありがとうございました。,POSITIVE,['AFTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
売り場が広いので、ゆっくり買い物できました 初めて行ったお店だったので、商品探すのちょっと大変でした 。,NEUTRAL,['DURING'],['STORE'],[],[],['shopping areas'],False,False
しくじりコーナー、いいですね！。,POSITIVE,['DURING'],['STORE'],[],[],['displays/missing items'],False,False
レジすこし待った 。,NEUTRAL,['REGISTER'],['UNCATEGORIZED'],[],[],[],False,False
衣料品に特化した店にして欲しいです ゲｰムとかは、要らない 年配の人ように種類を増やして欲しいです 。,POSITIVE,['UNCATEGORIZED'],['REQUEST'],[],[],[],True,False
特にないです 。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
お得に購入できるからありがたいです 。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
親切でした。,POSITIVE,['UNCATEGORIZED'],['SERVICE'],[],[],[],False,False
豆腐、納豆安くしてほしいです。,POSITIVE,['UNCATEGORIZED'],"['REQUEST', 'PRODUCT']",['daily food'],[],[],True,False
伊藤園のペットボトルで、からだいいこと黒豆茶500mlを安くいれてほしいですすごく香りが良くて美味しいです近郊で文具の事務キチで74円くらい？でありました。,POSITIVE,['UNCATEGORIZED'],"['REQUEST', 'PRODUCT']","['food and drink', 'daily food']",[],[],True,False
R1　いつも利用してます 手頃な値段で買えて助かってます 。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
空いているレジの方は、混んでいるレジに並んでいるお客様を誘導するともっと流れると思います。,POSITIVE,['REGISTER'],['SERVICE'],[],[],[],False,False
マヨネーズを安くしてほしい 。,POSITIVE,['UNCATEGORIZED'],"['REQUEST', 'PRODUCT']",['daily food'],[],[],True,False
案内図が欲しい。,POSITIVE,"['DURING', 'UNCATEGORIZED']","['STORE', 'UNCATEGORIZED']",[],[],['displays'],True,False
同じ種類のものはなるべく1箇所にまとめて陳列お願いします。,POSITIVE,"['DURING', 'UNCATEGORIZED']","['STORE', 'UNCATEGORIZED']",[],[],['displays'],True,False
９時一番だと空いてていいけど商品の陳列であわただしい。,NEUTRAL,"['DURING', 'UNCATEGORIZED']","['STORE', 'UNCATEGORIZED']",[],[],['displays'],False,False
北海道商品を増やして欲しい。,POSITIVE,"['DURING', 'UNCATEGORIZED']","['PRODUCT', 'UNCATEGORIZED']",['future products'],[],[],True,False
こんなもんでしょう。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
レジが並んでるにかなり。,NEUTRAL,"['REGISTER', 'UNCATEGORIZED']","['STORE', 'UNCATEGORIZED']",[],[],['equipment'],False,False
加藤くんもっと頑張りましょうマジカカード会員でバーコード提示してるんだから千種香流店のステッカー引換券持ってるの知ってるよね❗こっちもいい忘れたからステッカーもらい損ないましたよ。,POSITIVE,"['REGISTER', 'UNCATEGORIZED']","['SERVICE', 'STORE', 'UNCATEGORIZED']",[],['customer service'],['equipment'],False,False
いつも頑張ってカート回収してくれています。,POSITIVE,"['AFTER', 'UNCATEGORIZED']","['SERVICE', 'UNCATEGORIZED']",[],['customer service'],[],False,False
欲しいと思っていた車のワックスがクーポン対象になっていて嬉しかったです商品の前で悩んでいたら店員さんが声をかけてくださって、クーポンを使うことができました親切な対応に感謝です。,POSITIVE,"['DURING', 'REGISTER', 'UNCATEGORIZED']","['SERVICE', 'PRODUCT', 'UNCATEGORIZED']",['car life'],['customer service'],[],False,False
モヤシとリプトンのミルクティーを安くして欲しいです。,POSITIVE,"['DURING', 'UNCATEGORIZED']","['PRODUCT', 'UNCATEGORIZED']","['food and drink', 'daily food']",[],[],True,False
対応はとても良かったです!。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
いつも楽しく買い物をしています。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
レジでの対応が悪い事がある 袋をお願いしますって伝えても返事をしてもらえない！外国の方の方が優しくて丁寧です 。,NEGATIVE,['REGISTER'],['SERVICE'],[],[],[],True,False
キャットフードをもう少しお安くしてもらいたいです 。,NEUTRAL,['AFTER'],['PRODUCT'],['pet and garden'],[],[],True,False
ベビー用品をもう少し安くしてほしい。,NEUTRAL,['AFTER'],['PRODUCT'],['toy and variety'],[],[],True,False
とっても良い従業員が親切でした。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
レジリーダー感じが良い。,POSITIVE,['REGISTER'],['SERVICE'],[],[],[],False,False
北海道限定クラッシックビールが、無くなっていた 前回行った時、買えたのに残念 また、置いて下さい 。,NEGATIVE,['AFTER'],"['PRODUCT', 'STORE']",['liquor and wine'],[],['missing items'],True,False
店内は、品出し時間だと、荷物で通路が通れない事が良くありますが、床やカゴ、カートの整頓は、いつもきれいです が、あまり売れていない商品には埃がゴッソリでした 仕方ないと思いますが、埃がっ…とは内心思ってしまいます 。,NEUTRAL,['DURING'],['STORE'],[],[],['displays'],False,False
誰も親切丁寧です。,POSITIVE,['AFTER'],['SERVICE'],[],[],[],False,False
目玉商品期待してます 。,POSITIVE,['DURING'],['UNCATEGORIZED'],[],[],[],False,False
財布を忘れてしまいすぐ取りに伺いました 声をかけたスタッフさんも財布を持ってきて頂いたスタッフさんも丁寧に優しく対応して下さいました ありがとうございました また買い物に行きます 。,POSITIVE,['AFTER'],['SERVICE'],[],['customer service'],[],False,False
メガネ類（サングラス等）は、多く出品していますが、一方、メガネケースは、1種類かつ色も1色しかありませんでした もう少し、種類を多く（最低、色だけでも）取り扱ってほしいと思います 。,NEGATIVE,['DURING'],['PRODUCT'],['toy and variety'],[],[],True,False
当日賞味期限の格安販売がうれしいです！。,POSITIVE,['DURING'],['UNCATEGORIZED'],[],[],[],False,False
ガリガリ君を複数購入したときレジを通したら袋の中で商品が割れているのに気がついたスタッフの方が新しい商品とその場ですぐ交換してくれたおかげで助かりました。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service'],[],False,False
ドンペイシールが欲しくて入店したんですが貰い方を知らず教えていただきゲットできました 人気商品のクーポンも定期的に出してほしいです 。,POSITIVE,['DURING'],"['SERVICE', 'PRODUCT']",['toy and variety'],['coupons and discounts'],[],True,False
従業員のOさんは、いつも対応が大変良いです 昼間の女性は、全て感じも良いですね！カクテキキムチ100円で、販売して欲しい‼️。,POSITIVE,['DURING'],"['SERVICE', 'PRODUCT']",['snack and delicacy'],['customer service'],[],True,False
カゴにセットするタイプの買い物バックにレジの際商品を入れて欲しい他のスーパーやドラッグストアではしてくれるお店があってレジが終わってそのまま帰れるからとても助かります。,POSITIVE,['REGISTER'],['STORE'],[],[],['store equipment'],True,False
以前の商品などの配置が良かった！今迷路みたいで疲れる一方通行にしたのか？？。,NEUTRAL,['DURING'],['STORE'],[],[],['displays/missing items'],False,False
